song_id,artist,title,release_year,migracion_hits,migracion_score,narco_hits,narco_score,politica_mx_hits,politica_mx_score,politica_us_hits,politica_us_score,dominant_topic
1422073,Los Tigres del Norte,La Yaquecita,,0,0.0,0,0.0,0,0.0,0,0.0,none
1239291,Los Tigres del Norte,Leña del árbol caído,,0,0.0,0,0.0,0,0.0,0,0.0,none
1206466,Los Tigres del Norte,Leopoldo Ríos,,0,0.0,5,23.5849,0,0.0,0,0.0,narco
2121613,Los Tigres del Norte,Lgrimas del corazón,,0,0.0,0,0.0,0,0.0,0,0.0,none
1627073,Los Tigres del Norte,"Liar, Liar",,2,9.2166,0,0.0,0,0.0,0,0.0,migracion
1510115,Los Tigres del Norte,Libidinosamente,,0,0.0,0,0.0,0,0.0,0,0.0,none
2048506,Los Tigres del Norte,Libros de recuerdos,,0,0.0,0,0.0,0,0.0,0,0.0,none
1772986,Los Tigres del Norte,Loca,,0,0.0,1,7.5188,0,0.0,0,0.0,narco
892830,Los Tigres del Norte,Lo del agua al agua,,0,0.0,0,0.0,0,0.0,0,0.0,none
1558705,Los Tigres del Norte,Lo felicito amigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1248517,Los Tigres del Norte,Lo que sembré allá en la sierra,,1,5.848,2,11.6959,2,11.6959,0,0.0,narco
1769652,Los Tigres del Norte,Los aguaceros de mayo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1226121,Los Tigres del Norte,Los barandales del puente,,0,0.0,1,9.5238,6,57.1429,0,0.0,politica_mx
1238871,Los Tigres del Norte,Los Felicito Amigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1146106,Los Tigres del Norte,Los hijos de Hernandez,,8,37.3832,0,0.0,0,0.0,0,0.0,migracion
1148641,Los Tigres del Norte,Los mal portados,,0,0.0,0,0.0,0,0.0,0,0.0,none
1946883,Los Tigres del Norte,Los tres amigos,,0,0.0,4,19.3237,0,0.0,0,0.0,narco
1285024,Los Tigres del Norte,Los Tres Amigos (30 Segundos Para Morir),,0,0.0,4,19.3237,0,0.0,0,0.0,narco
1625243,Los Tigres del Norte,Los tres de Zacatecas,,1,7.1942,2,14.3885,0,0.0,0,0.0,narco
1317451,Los Tigres del Norte,Los tres gallos,,0,0.0,2,12.4224,1,6.2112,0,0.0,narco
1238993,Los Tigres del Norte,Lo tomas o lo tiras,,0,0.0,0,0.0,0,0.0,0,0.0,none
1267002,Los Tigres del Norte,Madrecita querida,,0,0.0,0,0.0,0,0.0,0,0.0,none
11467445,Los Tigres del Norte,Mal Negocio,,0,0.0,0,0.0,0,0.0,0,0.0,none
1203536,Los Tigres del Norte,Mañanitas a mi madre,,0,0.0,0,0.0,0,0.0,0,0.0,none
1649098,Los Tigres del Norte,Mañanitas guadalupanas,,0,0.0,0,0.0,0,0.0,0,0.0,none
1196187,Los Tigres del Norte,Mano larga,,0,0.0,0,0.0,0,0.0,0,0.0,none
1337262,Los Tigres del Norte,Manos unidas,,3,9.8039,1,3.268,0,0.0,0,0.0,migracion
1766845,Los Tigres del Norte,Margarita la de tijuana,,0,0.0,7,50.0,0,0.0,0,0.0,narco
1040908,Los Tigres del Norte,Me dicen perseverante,,2,11.1732,0,0.0,0,0.0,0,0.0,migracion
1244454,Los Tigres del Norte,Me haces falta,,0,0.0,0,0.0,0,0.0,0,0.0,none
1519763,Los Tigres del Norte,Me importa poco,,0,0.0,0,0.0,0,0.0,0,0.0,none
1421493,Los Tigres del Norte,Me maldigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1079832,Los Tigres del Norte,Mentira,,0,0.0,0,0.0,0,0.0,0,0.0,none
1520691,Los Tigres del Norte,Me quedas a la medida,,0,0.0,0,0.0,0,0.0,0,0.0,none
1375428,Los Tigres del Norte,Me regalo contigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1848284,Los Tigres del Norte,Me Siguen Llamando El Jefe,,1,5.3763,5,26.8817,0,0.0,0,0.0,narco
1251482,Los Tigres del Norte,Mi chamaquita,,0,0.0,0,0.0,0,0.0,0,0.0,none
1344575,Los Tigres del Norte,Mi curiosidad,,0,0.0,0,0.0,0,0.0,0,0.0,none
2249247,Los Tigres del Norte,Mi Distrito Federal,,1,5.814,0,0.0,0,0.0,0,0.0,migracion
1673249,Los Tigres del Norte,Mi gusto es,,0,0.0,0,0.0,0,0.0,0,0.0,none
1473111,Los Tigres del Norte,Mi lamento,,1,5.4054,0,0.0,0,0.0,0,0.0,migracion
1932960,Los Tigres del Norte,Miles de sueños,,0,0.0,0,0.0,0,0.0,0,0.0,none
1241727,Los Tigres del Norte,Mi linda esposa,,0,0.0,0,0.0,0,0.0,0,0.0,none
1552729,Los Tigres del Norte,Mi negocio está seguro,,1,5.9172,1,5.9172,0,0.0,0,0.0,migracion
1712441,Los Tigres del Norte,Minita de oro,,1,2.7778,0,0.0,0,0.0,0,0.0,migracion
